sentiment,full_text,cleaning,case_folding,tokenize,stopword_removal,stemming
2,@auditams @SelebtwitMobil BYD di Amerika sana udah ngalahin tesla karena emang sebagus itu merk BYD MG juga jadi salah satu opsi terbaik mobil listrik di harganya soalnya harga resmi MG ga beda jauh sama wuling binguo saat itu dengan fitur yang lebih banyak. makanya binguo lgsg turun harga,BYD di Amerika sana udah ngalahin tesla karena emang sebagus itu merk BYD MG juga jadi salah satu opsi terbaik mobil listrik di harganya soalnya harga resmi MG ga beda jauh sama wuling binguo saat itu dengan fitur yang lebih banyak makanya binguo lgsg turun harga,byd di amerika sana udah ngalahin tesla karena emang sebagus itu merk byd mg juga jadi salah satu opsi terbaik mobil listrik di harganya soalnya harga resmi mg ga beda jauh sama wuling binguo saat itu dengan fitur yang lebih banyak makanya binguo lgsg turun harga,"['byd', 'di', 'amerika', 'sana', 'udah', 'ngalahin', 'tesla', 'karena', 'emang', 'sebagus', 'itu', 'merk', 'byd', 'mg', 'juga', 'jadi', 'salah', 'satu', 'opsi', 'terbaik', 'mobil', 'listrik', 'di', 'harganya', 'soalnya', 'harga', 'resmi', 'mg', 'ga', 'beda', 'jauh', 'sama', 'wuling', 'binguo', 'saat', 'itu', 'dengan', 'fitur', 'yang', 'lebih', 'banyak', 'makanya', 'binguo', 'lgsg', 'turun', 'harga']","['ngalahin', 'sebagus', 'merk', 'opsi', 'terbaik', 'harganya', 'resmi', 'fitur', 'lgsg', 'turun']",ngalahin bagus merk opsi baik harga resmi fitur lgsg turun
1,@innovacommunity semua bengkel bisa ngatasin mobil listrik ga? atau harus ke bengkel resminya.,semua bengkel bisa ngatasin mobil listrik ga atau harus ke bengkel resminya,semua bengkel bisa ngatasin mobil listrik ga atau harus ke bengkel resminya,"['semua', 'bengkel', 'bisa', 'ngatasin', 'mobil', 'listrik', 'ga', 'atau', 'harus', 'ke', 'bengkel', 'resminya']","['bengkel', 'ngatasin', 'bengkel', 'resminya']",bengkel ngatasin bengkel resmi
1,Sebenarnya mau marah tapi kasian pacar sendiri nanti emosionalnya terguncang dan ujung-ujungnya nabrak. Gw pernah ada masanya seperti itu pas masih belajar mobil (malah waktu gw awal belajar masuk gang mobil kegores tiang listrik sampe dimarahin ortu dan nangis wkwk).,Sebenarnya mau marah tapi kasian pacar sendiri nanti emosionalnya terguncang dan ujungujungnya nabrak Gw pernah ada masanya seperti itu pas masih belajar mobil malah waktu gw awal belajar masuk gang mobil kegores tiang listrik sampe dimarahin ortu dan nangis wkwk,sebenarnya mau marah tapi kasian pacar sendiri nanti emosionalnya terguncang dan ujungujungnya nabrak gw pernah ada masanya seperti itu pas masih belajar mobil malah waktu gw awal belajar masuk gang mobil kegores tiang listrik sampe dimarahin ortu dan nangis wkwk,"['sebenarnya', 'mau', 'marah', 'tapi', 'kasian', 'pacar', 'sendiri', 'nanti', 'emosionalnya', 'terguncang', 'dan', 'ujungujungnya', 'nabrak', 'gw', 'pernah', 'ada', 'masanya', 'seperti', 'itu', 'pas', 'masih', 'belajar', 'mobil', 'malah', 'waktu', 'gw', 'awal', 'belajar', 'masuk', 'gang', 'mobil', 'kegores', 'tiang', 'listrik', 'sampe', 'dimarahin', 'ortu', 'dan', 'nangis', 'wkwk']","['marah', 'kasian', 'pacar', 'emosionalnya', 'terguncang', 'ujungujungnya', 'masanya', 'belajar', 'belajar', 'gang', 'kegores', 'dimarahin', 'nangis']",marah kasi pacar emosional guncang ujungujungnya masa ajar ajar gang gores dimarahin nang
1,@F_OllaJKT48 rocky km dicat pink aja eh atau gak beli wuling mobil listrik yg kecil itu warna pinkkkk,rocky km dicat pink aja eh atau gak beli wuling mobil listrik yg kecil itu warna pinkkkk,rocky km dicat pink aja eh atau gak beli wuling mobil listrik yg kecil itu warna pinkkkk,"['rocky', 'km', 'dicat', 'pink', 'aja', 'eh', 'atau', 'gak', 'beli', 'wuling', 'mobil', 'listrik', 'yg', 'kecil', 'itu', 'warna', 'pinkkkk']","['rocky', 'dicat', 'pink', 'warna', 'pinkkkk']",rocky cat pink warna pinkkkk
0,@innovacommunity takut meledak ga sih? ya semua mobil bisa tapi ini resikonya lebih tinggi. electric? jadi gabisa dipake 5or10thn kedepan dong harus selalu update kaya hp? harrier 2010 aja masih mantep sampe sekarang mobil listrik? entahlah.,takut meledak ga sih ya semua mobil bisa tapi ini resikonya lebih tinggi electric jadi gabisa dipake orthn kedepan dong harus selalu update kaya hp harrier  aja masih mantep sampe sekarang mobil listrik entahlah,takut meledak ga sih ya semua mobil bisa tapi ini resikonya lebih tinggi electric jadi gabisa dipake orthn kedepan dong harus selalu update kaya hp harrier  aja masih mantep sampe sekarang mobil listrik entahlah,"['takut', 'meledak', 'ga', 'sih', 'ya', 'semua', 'mobil', 'bisa', 'tapi', 'ini', 'resikonya', 'lebih', 'tinggi', 'electric', 'jadi', 'gabisa', 'dipake', 'orthn', 'kedepan', 'dong', 'harus', 'selalu', 'update', 'kaya', 'hp', 'harrier', 'aja', 'masih', 'mantep', 'sampe', 'sekarang', 'mobil', 'listrik', 'entahlah']","['takut', 'meledak', 'resikonya', 'gabisa', 'orthn', 'kedepan', 'update', 'harrier', 'mantep']",takut ledak resiko gabisa orthn depan update harrier mantep
0,@innovacommunity Kalo tujuan beli mobil listrik cuma buat mengakali ganjil/genap. Naik @Bluebirdgroup setahun paling cuma habis 10-20 jt. Ga perlu beli mobil listrik ga perlu perawatan dll.,Kalo tujuan beli mobil listrik cuma buat mengakali ganjilgenap Naik  setahun paling cuma habis  jt Ga perlu beli mobil listrik ga perlu perawatan dll,kalo tujuan beli mobil listrik cuma buat mengakali ganjilgenap naik  setahun paling cuma habis  jt ga perlu beli mobil listrik ga perlu perawatan dll,"['kalo', 'tujuan', 'beli', 'mobil', 'listrik', 'cuma', 'buat', 'mengakali', 'ganjilgenap', 'naik', 'setahun', 'paling', 'cuma', 'habis', 'jt', 'ga', 'perlu', 'beli', 'mobil', 'listrik', 'ga', 'perlu', 'perawatan', 'dll']","['tujuan', 'mengakali', 'ganjilgenap', 'setahun', 'habis', 'perawatan']",tuju akal ganjilgenap tahun habis awat
0,@innovacommunity Buat apa? Mobil listrik bukan buat jarak jauh ngisi batere lama kalau rusak biaya perbaikannya mahal dan lama. Punya mobil itu untuk mempermudah hidup bukan malah mempersulit.,Buat apa Mobil listrik bukan buat jarak jauh ngisi batere lama kalau rusak biaya perbaikannya mahal dan lama Punya mobil itu untuk mempermudah hidup bukan malah mempersulit,buat apa mobil listrik bukan buat jarak jauh ngisi batere lama kalau rusak biaya perbaikannya mahal dan lama punya mobil itu untuk mempermudah hidup bukan malah mempersulit,"['buat', 'apa', 'mobil', 'listrik', 'bukan', 'buat', 'jarak', 'jauh', 'ngisi', 'batere', 'lama', 'kalau', 'rusak', 'biaya', 'perbaikannya', 'mahal', 'dan', 'lama', 'punya', 'mobil', 'itu', 'untuk', 'mempermudah', 'hidup', 'bukan', 'malah', 'mempersulit']","['jarak', 'ngisi', 'batere', 'rusak', 'biaya', 'perbaikannya', 'mahal', 'mempermudah', 'hidup', 'mempersulit']",jarak ngisi batere rusak biaya baik mahal mudah hidup sulit
0,@innovacommunity Bengkel2 umum belum siap maintenance mobil listrik. Segala perbaikan kecil pun harus ke bengkel resmi atau garansi gugur...,Bengkel umum belum siap maintenance mobil listrik Segala perbaikan kecil pun harus ke bengkel resmi atau garansi gugur,bengkel umum belum siap maintenance mobil listrik segala perbaikan kecil pun harus ke bengkel resmi atau garansi gugur,"['bengkel', 'umum', 'belum', 'siap', 'maintenance', 'mobil', 'listrik', 'segala', 'perbaikan', 'kecil', 'pun', 'harus', 'ke', 'bengkel', 'resmi', 'atau', 'garansi', 'gugur']","['bengkel', 'maintenance', 'perbaikan', 'bengkel', 'resmi', 'garansi', 'gugur']",bengkel maintenance baik bengkel resmi garansi gugur
2,@innovacommunity Gue akan beli mobil listrik.Tapi bukan di masa ini. Mungkin tunggu sekitar bbrpa tahun ke depan hingga mobil listrik bisa sepraktis dan sereliabel mobil BBM skrg.,Gue akan beli mobil listrikTapi bukan di masa ini Mungkin tunggu sekitar bbrpa tahun ke depan hingga mobil listrik bisa sepraktis dan sereliabel mobil BBM skrg,gue akan beli mobil listriktapi bukan di masa ini mungkin tunggu sekitar bbrpa tahun ke depan hingga mobil listrik bisa sepraktis dan sereliabel mobil bbm skrg,"['gue', 'akan', 'beli', 'mobil', 'listriktapi', 'bukan', 'di', 'masa', 'ini', 'mungkin', 'tunggu', 'sekitar', 'bbrpa', 'tahun', 'ke', 'depan', 'hingga', 'mobil', 'listrik', 'bisa', 'sepraktis', 'dan', 'sereliabel', 'mobil', 'bbm', 'skrg']","['listriktapi', 'tunggu', 'bbrpa', 'sepraktis', 'sereliabel']",listriktapi tunggu bbrpa praktis reliabel
1,@trwify Tukang parkir mobil listrik,Tukang parkir mobil listrik,tukang parkir mobil listrik,"['tukang', 'parkir', 'mobil', 'listrik']",['tukang'],tukang
